出處：	字	〈拆字〉	 （音）	【倉頡】	意思	**出處：** 字〈拆字〉（音）【倉頡】
						䐃〈月困〉（音窘）【月月田竹木】
						䯏〈骨舌〉（音滑）【】
						𩩲〈骨曷〉（音）【】
